Range	Drop (inches)	Velocity	Energy	Wind drift (inches)	Time (milliseconds)
0	0.0037	3098	746	0.0000	0
1	0.0258	3089	741	0.0000	1
2	0.0476	3080	737	0.0000	2
3	0.0689	3071	733	0.0000	3
4	0.0899	3063	729	0.0000	4
5	0.1106	3054	725	0.0000	5
6	0.1308	3045	720	0.0000	6
7	0.1507	3036	716	0.0000	7
8	0.1702	3027	712	0.0000	8
9	0.1893	3018	708	0.0000	9
10	0.2081	3009	704	0.0000	10
11	0.2264	3000	699	0.0000	11
12	0.2444	2991	695	0.0000	12
13	0.2620	2983	691	0.0000	13
14	0.2792	2974	687	0.0000	14
15	0.2960	2965	683	0.0000	15
16	0.3124	2956	679	0.0000	16
17	0.3284	2948	675	0.0000	17
18	0.3440	2939	671	0.0000	18
19	0.3592	2930	667	0.0000	19
20	0.3740	2922	663	0.0000	20
21	0.3884	2913	659	0.0000	21
22	0.4024	2904	655	0.0000	22
23	0.4160	2896	652	0.0000	23
24	0.4292	2887	648	0.0000	24
25	0.4419	2879	644	0.0000	25
26	0.4542	2870	640	0.0000	26
27	0.4661	2861	636	0.0000	28
28	0.4776	2853	632	0.0000	29
29	0.4886	2844	628	0.0000	30
30	0.4993	2836	625	0.0000	31
31	0.5095	2827	621	0.0000	32
32	0.5192	2819	617	0.0000	33
33	0.5285	2810	614	0.0000	34
34	0.5374	2802	610	0.0000	35
35	0.5458	2794	607	0.0000	36
36	0.5538	2785	603	0.0000	37
37	0.5613	2777	599	0.0000	38
38	0.5684	2768	595	0.0000	39
39	0.5751	2760	592	0.0000	40
40	0.5812	2752	588	0.0000	41
41	0.5870	2743	585	0.0000	43
42	0.5922	2735	581	0.0000	44
43	0.5970	2727	578	0.0000	45
44	0.6013	2719	574	0.0000	46
45	0.6052	2710	571	0.0000	47
46	0.6086	2702	567	0.0000	48
47	0.6115	2694	564	0.0000	49
48	0.6139	2686	561	0.0000	50
49	0.6159	2677	557	0.0000	51
50	0.6173	2669	554	0.0000	53
51	0.6183	2661	550	0.0000	54
52	0.6188	2653	547	0.0000	55
53	0.6188	2645	544	0.0000	56
54	0.6182	2637	540	0.0000	57
55	0.6172	2629	537	0.0000	58
56	0.6157	2620	533	0.0000	59
57	0.6137	2612	530	0.0000	60
58	0.6112	2604	527	0.0000	62
59	0.6081	2596	524	0.0000	63
60	0.6046	2588	520	0.0000	64
61	0.6005	2580	517	0.0000	65
62	0.5959	2572	514	0.0000	66
63	0.5908	2564	511	0.0000	67
64	0.5851	2556	508	0.0000	69
65	0.5789	2548	504	0.0000	70
66	0.5722	2540	501	0.0000	71
67	0.5650	2532	498	0.0000	72
68	0.5572	2524	495	0.0000	73
69	0.5488	2517	492	0.0000	75
70	0.5399	2509	489	0.0000	76
71	0.5305	2501	486	0.0000	77
72	0.5205	2493	483	0.0000	78
73	0.5099	2485	480	0.0000	79
74	0.4988	2477	477	0.0000	81
75	0.4871	2469	474	0.0000	82
76	0.4748	2462	471	0.0000	83
77	0.4620	2454	468	0.0000	84
78	0.4486	2446	465	0.0000	85
79	0.4346	2438	462	0.0000	87
80	0.4200	2430	459	0.0000	88
81	0.4048	2423	456	0.0000	89
82	0.3891	2415	453	0.0000	90
83	0.3727	2407	450	0.0000	92
84	0.3558	2400	448	0.0000	93
85	0.3382	2392	445	0.0000	94
86	0.3201	2384	442	0.0000	95
87	0.3013	2377	439	0.0000	97
88	0.2819	2369	436	0.0000	98
89	0.2619	2361	433	0.0000	99
90	0.2412	2354	431	0.0000	100
91	0.2200	2346	428	0.0000	102
92	0.1981	2338	425	0.0000	103
93	0.1756	2331	422	0.0000	104
94	0.1524	2323	419	0.0000	106
95	0.1286	2316	417	0.0000	107
96	0.1041	2308	414	0.0000	108
97	0.0790	2301	411	0.0000	109
98	0.0532	2293	409	0.0000	111
99	0.0268	2286	406	0.0000	112
100	-0.0003	2278	403	0.0000	113
101	-0.0281	2271	401	0.0000	115
102	-0.0565	2263	398	0.0000	116
103	-0.0856	2256	395	0.0000	117
104	-0.1154	2248	393	0.0000	119
105	-0.1459	2241	390	0.0000	120
106	-0.1771	2233	387	0.0000	121
107	-0.2090	2226	385	0.0000	123
108	-0.2416	2219	383	0.0000	124
109	-0.2749	2211	380	0.0000	125
110	-0.3089	2204	377	0.0000	127
111	-0.3436	2197	375	0.0000	128
112	-0.3790	2189	372	0.0000	129
113	-0.4152	2182	370	0.0000	131
114	-0.4521	2175	368	0.0000	132
115	-0.4897	2167	365	0.0000	134
116	-0.5280	2160	363	0.0000	135
117	-0.5671	2153	360	0.0000	136
118	-0.6070	2146	358	0.0000	138
119	-0.6476	2138	355	0.0000	139
120	-0.6890	2131	353	0.0000	141
121	-0.7311	2124	351	0.0000	142
122	-0.7740	2117	348	0.0000	143
123	-0.8177	2110	346	0.0000	145
124	-0.8622	2102	343	0.0000	146
125	-0.9074	2095	341	0.0000	148
126	-0.9535	2088	339	0.0000	149
127	-1.0003	2081	336	0.0000	151
128	-1.0480	2074	334	0.0000	152
129	-1.0964	2067	332	0.0000	153
130	-1.1457	2060	330	0.0000	155
131	-1.1958	2053	328	0.0000	156
132	-1.2467	2046	325	0.0000	158
133	-1.2984	2039	323	0.0000	159
134	-1.3510	2032	321	0.0000	161
135	-1.4044	2025	319	0.0000	162
136	-1.4587	2018	316	0.0000	164
137	-1.5138	2011	314	0.0000	165
138	-1.5698	2004	312	0.0000	167
139	-1.6267	1997	310	0.0000	168
140	-1.6844	1990	308	0.0000	170
141	-1.7430	1983	306	0.0000	171
142	-1.8024	1976	303	0.0000	173
143	-1.8628	1969	301	0.0000	174
144	-1.9241	1962	299	0.0000	176
145	-1.9863	1955	297	0.0000	177
146	-2.0493	1948	295	0.0000	179
147	-2.1133	1942	293	0.0000	180
148	-2.1783	1935	291	0.0000	182
149	-2.2441	1928	289	0.0000	184
150	-2.3109	1921	287	0.0000	185
151	-2.3786	1914	285	0.0000	187
152	-2.4473	1908	283	0.0000	188
153	-2.5169	1901	281	0.0000	190
154	-2.5875	1894	279	0.0000	191
155	-2.6590	1888	277	0.0000	193
156	-2.7316	1881	275	0.0000	195
157	-2.8051	1874	273	0.0000	196
158	-2.8796	1867	271	0.0000	198
159	-2.9551	1861	269	0.0000	199
160	-3.0316	1854	267	0.0000	201
161	-3.1091	1848	265	0.0000	203
162	-3.1877	1841	263	0.0000	204
163	-3.2672	1834	261	0.0000	206
164	-3.3478	1828	260	0.0000	208
165	-3.4294	1821	258	0.0000	209
166	-3.5121	1815	256	0.0000	211
167	-3.5959	1808	254	0.0000	212
168	-3.6807	1802	252	0.0000	214
169	-3.7665	1795	250	0.0000	216
